Time [ms],IShunt [A],Cell Voltage [V],Cell Temp 1 [C],Cell Temp 2 [C],Internal Resistance [mOhm]
353352,0.091,0.003,0,0,
353356,0.061,0.003,0,0,
353360,0.061,0.003,0,0,
353364,0,0.003,0,0,
353368,0.113,0.008,0,0,
353372,0.058,0.006,0,0,
353376,0.064,0.003,0,0,
353380,0.088,0.006,0,0,
353384,0.126,0.005,0,0,
353388,0.021,0,0,0,
353392,0.078,0.001,0,0,
353396,0.027,0.003,0,0,
353400,0.019,-0.001,0,0,
353404,0.095,0.001,0,0,
353408,0.089,0.006,0,0,
353412,0.01,0.004,0,0,
353416,0.048,0,0,0,
353420,0.059,0.003,0,0,
353424,0.078,0.006,0,0,
353428,0.056,0.001,0,0,
353432,0.059,0.001,0,0,
353436,0.045,-0.003,0,0,
353440,0.027,0.004,0,0,
353444,0.01,0,0,0,
353448,0.074,0.001,0,0,
353452,-0.001,0.001,0,0,
353456,0.008,-0.003,0,0,
353460,0.042,0.005,0,0,
353464,0.103,0,0,0,
353468,0.042,-0.004,0,0,
353472,-0.001,0.002,0,0,
353476,0.064,0.001,0,0,
353480,0.07,0.006,0,0,
353484,0.014,0.006,0,0,
353488,-0.007,0.004,0,0,
353492,0.051,0.001,0,0,
353496,0.041,0.003,0,0,
353500,-0.017,0.008,0,0,
353504,0.044,0.003,0,0,
353508,0.036,0.006,0,0,
353512,0.066,0.007,0,0,
353516,0.062,0.007,0,0,
353520,0.053,0.003,0,0,
353524,-0.005,-0.005,0,0,
353528,0.03,0.001,0,0,
353532,0.024,0,0,0,
353536,0.039,0.003,0,0,
353540,0.058,0.007,0,0,
353544,0.045,0.005,0,0,
353548,0.075,0.004,0,0,
353552,0.032,0.001,0,0,
353556,0.039,0.004,0,0,
353560,0.001,0,0,0,
353564,0.064,0.003,0,0,
353568,0.05,0.001,0,0,
353572,0.054,0.002,0,0,
353576,-0.017,0.006,0,0,
353580,0.066,0,0,0,
353584,0.083,0.009,0,0,
353588,0.046,0.002,0,0,
353592,0.06,0.005,0,0,
353596,0.081,-0.003,0,0,
353600,0.086,0.002,0,0,
353604,0.103,-0.001,0,0,
353608,0.079,0.002,0,0,
353612,0.077,0,0,0,
353616,0.079,-0.002,0,0,
353620,-0.007,-0.002,0,0,
353624,0.037,0,0,0,
353628,-0.007,0,0,0,
353632,0.052,0.003,0,0,
353636,0.059,-0.001,0,0,
353640,0.097,-0.001,0,0,
353644,0.029,-0.002,0,0,
353648,0.045,-0.002,0,0,
353652,0.017,-0.003,0,0,
353656,0.058,0,0,0,
353660,0.01,-0.002,0,0,
353664,0.01,-0.004,0,0,
353668,0.09,0,0,0,
353672,0.073,-0.003,0,0,
353676,0.038,0.005,0,0,
353680,0.095,0,0,0,
353684,0.104,0.002,0,0,
353688,0.055,0.008,0,0,
353692,0.044,0.01,0,0,
353696,0.063,0.003,0,0,
353700,0.069,0.005,0,0,
353704,0.098,0.009,0,0,
353708,0,0.004,0,0,
353712,0.115,0.004,0,0,
353716,0.109,0.003,0,0,
353720,0.03,0.006,0,0,
353724,0.035,-0.001,0,0,
353728,0.061,0.001,0,0,
353732,0.024,0.003,0,0,
353736,0.051,0.003,0,0,
353740,0.019,0,0,0,
353744,0.086,-0.001,0,0,
353748,0.049,0.001,0,0,
353752,0.027,0.002,0,0,
353756,0.046,-0.003,0,0,
353760,0.049,0.008,0,0,
353764,-0.014,0.002,0,0,
353768,0.062,0.008,0,0,
353772,-0.001,0.007,0,0,
353776,0.022,-0.001,0,0,
353780,0.016,0.008,0,0,
353784,0.058,0.004,0,0,
353788,0.034,-0.002,0,0,
353792,0.07,0.005,0,0,
353796,0.033,0.004,0,0,
353800,0.123,0.007,0,0,
353804,0.086,0.004,0,0,
353808,0.066,0.002,0,0,
353812,0.098,0.007,0,0,
353816,0.039,0.005,0,0,
353820,0.074,0.005,0,0,
353824,0.066,0.001,0,0,
353828,0.079,0.001,0,0,
353832,0.035,0.001,0,0,
353836,0.048,0.005,0,0,
353840,0.091,0.005,0,0,
353844,0.065,0.005,0,0,
353848,0.083,0.004,0,0,
353852,0.025,0.003,0,0,
353856,0.055,0.006,0,0,
353860,0.001,-0.002,0,0,
353864,0.053,-0.002,0,0,
353868,0.071,-0.003,0,0,
353872,0.093,0.004,0,0,
353876,0.118,-0.001,0,0,
353880,0.057,0.002,0,0,
353884,0.026,0.002,0,0,
353888,0.044,0.005,0,0,
353892,0.076,0.002,0,0,
353896,0.079,0.005,0,0,
353900,0.095,0.002,0,0,
353904,0.028,0,0,0,
353908,0.114,0.002,0,0,
353912,0.181,0.002,0,0,
353916,0.226,0.002,0,0,
353920,2.096,0.002,0,0,
353924,10.261,-0.003,0,0,0.000458045
353928,12.925,0.002,0,0,-2.32E-05
353932,14.55,0.003,0,0,-8.93E-05
353936,16.083,0,0,0,0.000105702
353940,17.646,0.004,0,0,-0.000130341
353944,19.27,0.005,0,0,-0.000171251
353948,20.805,0.005,0,0,-0.000158616
353952,22.373,0,0,0,7.60E-05
