Cell Group Index,Internal Resistance,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6
0,0.08462306567296206,56,211,931,664,304,616
1,0.033686710928715356,7,127,13,93,388,718
2,0.03378840714712531,2,656,671,53,257,4
3,0.033831134966416695,901,852,347,520,30,676
4,0.03381997358785793,215,187,631,546,143,548
5,0.033804327175077316,849,911,482,477,770,261
6,0.03379357476169779,245,263,16,706,553,494
7,0.03379466135518236,949,783,831,591,99,116
8,0.0337564631926672,74,316,162,516,458,292
9,0.03371513771324889,634,111,756,579,484,126
10,0.033737208276452824,324,940,982,101,415,359
11,0.03373723502942363,63,229,674,102,828,107
12,0.03371285175888543,6,224,432,210,739,289
13,0.033676686071009966,747,605,10,716,336,449
14,0.03366108891691461,635,280,317,76,830,218
15,0.03365898065772067,694,979,835,514,480,957
16,0.033710980298447574,991,875,365,585,653,600
17,0.033717043491770314,274,49,614,700,578,543
18,0.03373083626933706,219,819,720,83,290,230
19,0.033713987927312956,100,203,644,584,291,387
20,0.03373017411528071,329,851,879,144,765,471
21,0.033736833377391105,786,766,619,499,446,780
22,0.03373926722425412,122,525,617,472,438,736
23,0.03373402075838116,774,977,57,82,503,339
24,0.03372743822566369,275,905,164,448,297,764
25,0.03376158129844447,184,106,178,117,727,721
26,0.03374648180921106,902,379,989,487,267,461
27,0.03373592774784332,518,524,729,55,788,447
28,0.03372662832018426,569,927,652,97,810,531
29,0.03371984339138925,112,147,309,31,740,390
30,0.03372566765647808,489,799,768,113,308,193
31,0.03373593043641115,696,912,235,836,70,547
32,0.03370870253676772,896,994,750,109,319,213
33,0.03369776081840558,85,773,821,697,413,710
34,0.03370831888111761,205,84,331,529,155,829
35,0.033698001998489685,354,526,244,792,646,590
36,0.03367605356367478,442,978,370,648,118,474
37,0.033678707558393924,73,8,183,777,125,803
38,0.03369191130922829,962,670,983,299,376,609
39,0.03370017539545218,965,429,246,79,704,807
40,0.033707605549785184,186,642,705,300,41,3
41,0.03370563052903828,272,491,916,717,714,592
42,0.033689552833359136,752,508,961,823,115,713
43,0.033700788864210095,861,959,323,554,386,762
44,0.03371084600725711,88,683,260,332,391,338
45,0.03370197320422116,767,402,854,96,589,337
46,0.03370657842631305,393,692,947,734,330,47
47,0.033709790042738,968,787,468,181,876,206
48,0.03372969307703815,114,258,946,615,712,567
49,0.03376222808890043,287,363,149,259,708,725
50,0.033757888692057335,936,817,146,641,490,570
51,0.033761239878265493,251,38,185,604,138,944
52,0.03378217680976362,321,269,812,917,588,478
53,0.03379368207953224,175,179,630,753,105,506
54,0.033793812418673005,222,582,689,95,840,610
55,0.03380039512658422,199,444,963,232,606,68
56,0.03379672707005557,857,37,862,532,407,485
57,0.033793529548165106,410,866,654,882,20,328
58,0.03379337721130885,571,355,921,715,91,48
59,0.03380409592430362,865,333,119,594,885,650
60,0.03382121055262006,28,574,797,356,661,724
61,0.03383122194054919,271,521,984,98,726,504
62,0.03382410435434339,320,621,633,869,266,439
63,0.033827390133605896,58,90,745,502,234,827
64,0.03382071462062755,995,932,373,420,536,457
65,0.033821916262555096,505,903,627,460,433,513
66,0.0338171810836744,563,9,613,813,651,250
67,0.033831115297423914,344,311,131,305,881,180
68,0.03385772653825323,1000,941,395,675,945,930
69,0.03386052808361565,492,314,824,907,533,486
70,0.033894965215605595,362,248,322,293,701,771
71,0.03389244338906186,195,833,430,545,400,273
72,0.033907331496859226,723,599,804,969,239,988
73,0.03390620753832241,976,198,967,278,660,741
74,0.0338918952143108,684,397,167,151,796,450
75,0.03389240068875101,540,128,158,64,479,637
76,0.03389899873226503,867,216,538,335,405,67
77,0.03389529041820757,368,565,389,597,598,469
78,0.033891723753030366,894,956,364,929,759,576
79,0.03388838353608279,891,842,463,512,382,357
80,0.033882332780690354,12,141,190,87,877,693
81,0.03387510888448423,888,279,358,681,78,411
82,0.03387516118377235,264,177,997,209,925,465
83,0.03386804514130445,120,853,542,22,523,573
84,0.033865471056929754,556,42,629,35,194,156
85,0.03386853411656021,996,24,466,794,481,980
86,0.03387187348042537,498,500,990,522,493,71
87,0.033864197490647965,695,172,220,612,748,844
88,0.03385611037773909,872,182,286,268,974,709
89,0.033861329062230903,453,856,981,953,285,746
90,0.0338699239412747,934,496,858,173,864,952
91,0.03387190457718076,998,451,938,845,157,607
92,0.03388874236059526,735,678,906,139,21,427
93,0.03390005317729248,454,255,423,467,303,137
94,0.03390502338279872,943,142,161,647,227,372
95,0.03389862052632795,755,602,808,238,133,262
96,0.033901242219391475,895,33,776,698,581,242
97,0.033898017790587216,749,228,587,534,59,685
98,0.033896343495345406,307,802,572,435,252,207
99,0.033894156524633484,72,45,933,847,15,779
100,0.03389832561289036,401,993,795,761,595,501
101,0.033903568957284774,66,17,558,129,431,223
102,0.033902006964417974,282,281,345,667,878,791
103,0.03389155015009852,283,763,880,509,488,192
104,0.033882240175375826,559,86,883,378,249,955
105,0.03387177647584735,456,899,742,958,730,874
106,0.0338763202517379,121,530,418,549,421,214
107,0.03389174328939393,625,348,353,383,241,586
108,0.03389205803300248,843,445,577,769,841,349
109,0.033893891809689713,237,312,351,663,909,77
110,0.03389032345438511,202,680,39,54,159,247
111,0.03387242351569017,639,326,544,243,434,124
112,0.033874416842396754,805,201,153,406,51,191
113,0.033872321867385494,385,455,892,870,301,384
114,0.03387522914260072,666,327,778,225,624,310
115,0.03386754796852448,361,939,722,340,913,832
116,0.033865175101410065,89,27,470,441,409,971
117,0.033873582867152,575,760,306,580,622,196
118,0.033863598951862396,366,658,775,315,593,550
119,0.033857273859447055,352,926,208,859,657,212
120,0.03385118681064888,254,52,552,645,428,928
121,0.03385649331946231,688,381,36,188,25,32
122,0.03386403914944664,966,92,636,135,811,649
123,0.03387403844017862,711,416,419,682,820,495
124,0.033887076390900724,618,806,868,950,34,924
125,0.033891026820668434,640,557,369,960,517,975
126,0.03388839809278061,537,846,422,440,325,43
127,0.033887363774048836,935,174,702,75,922,687
128,0.033896184426188296,50,826,986,160,412,564
129,0.03389298330483803,954,398,611,176,527,392
130,0.03389069240029206,719,14,562,288,583,298
131,0.033889784488137766,535,781,403,426,551,798
132,0.03390072462859631,270,985,886,233,754,900
133,0.03390610147202588,970,757,136,414,132,665
134,0.03391460084628402,318,893,497,408,873,731
135,0.0339138335003882,837,887,511,171,473,394
136,0.03390732861555947,163,11,871,838,302,65
137,0.03389869579515365,914,898,668,690,809,148
138,0.03389621281589251,197,256,26,655,240,231
139,0.03388885250001942,662,839,789,738,904,380
140,0.03388511108608014,814,165,169,130,707,972
141,0.03388468183164825,863,800,603,104,360,436
142,0.0338750641172943,672,848,728,948,568,834
143,0.03387216874300292,643,539,62,236,253,134
144,0.03387084655706535,860,189,608,60,560,758
145,0.033881510522667996,346,367,884,154,221,632
146,0.033878987748243786,626,890,343,951,374,691
147,0.03386987634311129,350,46,790,566,541,561
148,0.03387088806159403,437,152,785,850,528,744
149,0.03387267701704021,296,476,937,815,889,19
150,0.03388663205216553,44,168,620,793,5,733
151,0.03388620550651389,816,973,601,908,145,510
152,0.03389436074914085,103,507,265,40,483,555
153,0.03388371399187554,166,23,18,341,29,596
154,0.03387929120438953,150,910,825,217,942,919
155,0.03389814053184735,276,452,108,782,375,294
156,0.033905450186923654,443,964,170,69,80,623
157,0.03390564730337508,801,226,284,669,459,855
158,0.03390940027908767,94,784,61,699,677,425
159,0.03389335808475257,737,140,732,992,334,110
160,0.03389155887007999,377,920,987,897,818,703
161,0.03389133947250828,371,475,200,81,743,277
162,0.03389346132332143,822,915,659,638,295,751
163,0.03389284439792723,686,396,313,999,923,772
164,0.0338995801930022,519,417,515,464,123,628
165,0.033906905435985984,424,679,462,404,399,204
166,0.03390792048423156,673,404,399,679,462,673
